"","country","c3","year","gini","areacovr","popcovr","continent","subregion","region","incomegroup","population","quality","qscore","source","GENFS","GENFLossWaste","GENfoodloss","policyFL","causesofDistributionLevelLoss","GENendUserWaste","endUserFWaste","policyFW","GENsustainagri","GENwater","nviroimpactagriconwater","suswaterwithdrawal","waterscarcity","watermngmnt","waterTradeImpact","fisherysust","GENlanduse","nviroimpactagriconland","landuse","anifeedbiofuelsImpactLand","landownership","agrisubsidies","policyAnimalWelfare","disversAgriSystem","nviroBiodiversity","agroEconomicIndicators","landproductivity","landusers","finaccessprotectionsLandUsers","GENAirGHGemissions","nviroimpactagriconair","climchngmitigation","opp4investinginsusagri","GENnutchalleng","lifequal","c3year","dat10$c3year"
"1","Angola","AGO",2009,42.72,"All","All","Africa","Middle Africa","Sub-Saharan Africa","Lower middle income",22549547,"Average",13,"World Bank",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AGO 2009","AGO 2009"
"2","Albania","ALB",1996,27.01,"All","All","Europe","Southern Europe","Europe and Central Asia","Upper middle income",3092228,"Average",13,"World Bank",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALB 1996","ALB 1996"
"3","Albania","ALB",2008,29.98,"All","All","Europe","Southern Europe","Europe and Central Asia","Upper middle income",2991651,"Average",13,"World Bank",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALB 2008","ALB 2008"
"4","Argentina","ARG",1991,46.76,"Urban","All","Americas","South America","Latin America and the Caribbean","High income",33193918,"Average",11,"World Bank",70.7481898807594,85.9668986193806,86.8695848457687,100,50,85.402719727888,73.2199787460149,96.2962962962963,71.1835605823007,64.7582458965251,82.9841464536663,99.8559777390498,55.7826086956522,100,39.4750423947504,7.15181932245923,55.8619875750377,53.5423751314011,49.1711782571112,41.8872900625352,87.6169069762346,100,57.1428571428571,29.5847750865052,60.2729918812107,68.0933445986275,47.7064220183486,14.4935111322466,55.199775202719,92.9304482753394,83.5231048573783,100,40.2777777777778,65.3781047520878,73.1042365751037,"ARG 1991","ARG 1991"
"5","Argentina","ARG",1994,45.92,"Urban","All","Americas","South America","Latin America and the Caribbean","High income",34558115,"Average",11,"World Bank",70.7481898807594,85.9668986193806,86.8695848457687,100,50,85.402719727888,73.2199787460149,96.2962962962963,71.1835605823007,64.7582458965251,82.9841464536663,99.8559777390498,55.7826086956522,100,39.4750423947504,7.15181932245923,55.8619875750377,53.5423751314011,49.1711782571112,41.8872900625352,87.6169069762346,100,57.1428571428571,29.5847750865052,60.2729918812107,68.0933445986275,47.7064220183486,14.4935111322466,55.199775202719,92.9304482753394,83.5231048573783,100,40.2777777777778,65.3781047520878,73.1042365751037,"ARG 1994","ARG 1994"
"6","Argentina","ARG",1997,49.11,"Urban","All","Americas","South America","Latin America and the Caribbean","High income",35833969,"Average",11,"World Bank",70.7481898807594,85.9668986193806,86.8695848457687,100,50,85.402719727888,73.2199787460149,96.2962962962963,71.1835605823007,64.7582458965251,82.9841464536663,99.8559777390498,55.7826086956522,100,39.4750423947504,7.15181932245923,55.8619875750377,53.5423751314011,49.1711782571112,41.8872900625352,87.6169069762346,100,57.1428571428571,29.5847750865052,60.2729918812107,68.0933445986275,47.7064220183486,14.4935111322466,55.199775202719,92.9304482753394,83.5231048573783,100,40.2777777777778,65.3781047520878,73.1042365751037,"ARG 1997","ARG 1997"
"7","Argentina","ARG",2000,51.06,"Urban","All","Americas","South America","Latin America and the Caribbean","High income",37057452,"Average",11,"World Bank",70.7481898807594,85.9668986193806,86.8695848457687,100,50,85.402719727888,73.2199787460149,96.2962962962963,71.1835605823007,64.7582458965251,82.9841464536663,99.8559777390498,55.7826086956522,100,39.4750423947504,7.15181932245923,55.8619875750377,53.5423751314011,49.1711782571112,41.8872900625352,87.6169069762346,100,57.1428571428571,29.5847750865052,60.2729918812107,68.0933445986275,47.7064220183486,14.4935111322466,55.199775202719,92.9304482753394,83.5231048573783,100,40.2777777777778,65.3781047520878,73.1042365751037,"ARG 2000","ARG 2000"
"8","Argentina","ARG",2003,50.69,"Urban","All","Americas","South America","Latin America and the Caribbean","High income",38309379,"Average",11,"World Bank",70.7481898807594,85.9668986193806,86.8695848457687,100,50,85.402719727888,73.2199787460149,96.2962962962963,71.1835605823007,64.7582458965251,82.9841464536663,99.8559777390498,55.7826086956522,100,39.4750423947504,7.15181932245923,55.8619875750377,53.5423751314011,49.1711782571112,41.8872900625352,87.6169069762346,100,57.1428571428571,29.5847750865052,60.2729918812107,68.0933445986275,47.7064220183486,14.4935111322466,55.199775202719,92.9304482753394,83.5231048573783,100,40.2777777777778,65.3781047520878,73.1042365751037,"ARG 2003","ARG 2003"
"9","Argentina","ARG",2006,46.62,"Urban","All","Americas","South America","Latin America and the Caribbean","High income",39558890,"Average",11,"World Bank",70.7481898807594,85.9668986193806,86.8695848457687,100,50,85.402719727888,73.2199787460149,96.2962962962963,71.1835605823007,64.7582458965251,82.9841464536663,99.8559777390498,55.7826086956522,100,39.4750423947504,7.15181932245923,55.8619875750377,53.5423751314011,49.1711782571112,41.8872900625352,87.6169069762346,100,57.1428571428571,29.5847750865052,60.2729918812107,68.0933445986275,47.7064220183486,14.4935111322466,55.199775202719,92.9304482753394,83.5231048573783,100,40.2777777777778,65.3781047520878,73.1042365751037,"ARG 2006","ARG 2006"
"10","Argentina","ARG",2009,43.94,"Urban","All","Americas","South America","Latin America and the Caribbean","High income",40799407,"Average",11,"World Bank",70.7481898807594,85.9668986193806,86.8695848457687,100,50,85.402719727888,73.2199787460149,96.2962962962963,71.1835605823007,64.7582458965251,82.9841464536663,99.8559777390498,55.7826086956522,100,39.4750423947504,7.15181932245923,55.8619875750377,53.5423751314011,49.1711782571112,41.8872900625352,87.6169069762346,100,57.1428571428571,29.5847750865052,60.2729918812107,68.0933445986275,47.7064220183486,14.4935111322466,55.199775202719,92.9304482753394,83.5231048573783,100,40.2777777777778,65.3781047520878,73.1042365751037,"ARG 2009","ARG 2009"
